Buying,Maint,Doors,Persons,Lug_Boot,Safety,Class,Car_Quality
3,3,0,0,2,1,unacc,6
3,3,0,0,2,2,unacc,6
3,3,0,0,2,0,unacc,6
3,3,0,0,1,1,unacc,6
3,3,0,0,1,2,unacc,6
3,3,0,0,1,0,unacc,6
3,3,0,0,0,1,unacc,6
3,3,0,0,0,2,unacc,6
3,3,0,0,0,0,unacc,6
3,3,0,1,2,1,unacc,6
3,3,0,1,2,2,unacc,6
3,3,0,1,2,0,unacc,6
3,3,0,1,1,1,unacc,6
3,3,0,1,1,2,unacc,6
3,3,0,1,1,0,unacc,6
3,3,0,1,0,1,unacc,6
3,3,0,1,0,2,unacc,6
3,3,0,1,0,0,unacc,6
3,3,0,2,2,1,unacc,6
3,3,0,2,2,2,unacc,6
3,3,0,2,2,0,unacc,6
3,3,0,2,1,1,unacc,6
3,3,0,2,1,2,unacc,6
3,3,0,2,1,0,unacc,6
3,3,0,2,0,1,unacc,6
3,3,0,2,0,2,unacc,6
3,3,0,2,0,0,unacc,6
3,3,1,0,2,1,unacc,6
3,3,1,0,2,2,unacc,6
3,3,1,0,2,0,unacc,6
3,3,1,0,1,1,unacc,6
3,3,1,0,1,2,unacc,6
3,3,1,0,1,0,unacc,6
3,3,1,0,0,1,unacc,6
3,3,1,0,0,2,unacc,6
3,3,1,0,0,0,unacc,6
3,3,1,1,2,1,unacc,6
3,3,1,1,2,2,unacc,6
3,3,1,1,2,0,unacc,6
3,3,1,1,1,1,unacc,6
3,3,1,1,1,2,unacc,6
3,3,1,1,1,0,unacc,6
3,3,1,1,0,1,unacc,6
3,3,1,1,0,2,unacc,6
3,3,1,1,0,0,unacc,6
3,3,1,2,2,1,unacc,6
3,3,1,2,2,2,unacc,6
3,3,1,2,2,0,unacc,6
3,3,1,2,1,1,unacc,6
3,3,1,2,1,2,unacc,6
3,3,1,2,1,0,unacc,6
3,3,1,2,0,1,unacc,6
3,3,1,2,0,2,unacc,6
3,3,1,2,0,0,unacc,6
3,3,2,0,2,1,unacc,6
3,3,2,0,2,2,unacc,6
3,3,2,0,2,0,unacc,6
3,3,2,0,1,1,unacc,6
3,3,2,0,1,2,unacc,6
3,3,2,0,1,0,unacc,6
3,3,2,0,0,1,unacc,6
3,3,2,0,0,2,unacc,6
3,3,2,0,0,0,unacc,6
3,3,2,1,2,1,unacc,6
3,3,2,1,2,2,unacc,6
3,3,2,1,2,0,unacc,6
3,3,2,1,1,1,unacc,6
3,3,2,1,1,2,unacc,6
3,3,2,1,1,0,unacc,6
3,3,2,1,0,1,unacc,6
3,3,2,1,0,2,unacc,6
3,3,2,1,0,0,unacc,6
3,3,2,2,2,1,unacc,6
3,3,2,2,2,2,unacc,6
3,3,2,2,2,0,unacc,6
3,3,2,2,1,1,unacc,6
3,3,2,2,1,2,unacc,6
3,3,2,2,1,0,unacc,6
3,3,2,2,0,1,unacc,6
3,3,2,2,0,2,unacc,6
3,3,2,2,0,0,unacc,6
3,3,3,0,2,1,unacc,6
3,3,3,0,2,2,unacc,6
3,3,3,0,2,0,unacc,6
3,3,3,0,1,1,unacc,6
3,3,3,0,1,2,unacc,6
3,3,3,0,1,0,unacc,6
3,3,3,0,0,1,unacc,6
3,3,3,0,0,2,unacc,6
3,3,3,0,0,0,unacc,6
3,3,3,1,2,1,unacc,6
3,3,3,1,2,2,unacc,6
3,3,3,1,2,0,unacc,6
3,3,3,1,1,1,unacc,6
3,3,3,1,1,2,unacc,6
3,3,3,1,1,0,unacc,6
3,3,3,1,0,1,unacc,6
3,3,3,1,0,2,unacc,6
3,3,3,1,0,0,unacc,6
3,3,3,2,2,1,unacc,6
3,3,3,2,2,2,unacc,6
3,3,3,2,2,0,unacc,6
3,3,3,2,1,1,unacc,6
3,3,3,2,1,2,unacc,6
3,3,3,2,1,0,unacc,6
3,3,3,2,0,1,unacc,6
3,3,3,2,0,2,unacc,6
3,3,3,2,0,0,unacc,6
3,0,0,0,2,1,unacc,3
3,0,0,0,2,2,unacc,3
3,0,0,0,2,0,unacc,3
3,0,0,0,1,1,unacc,3
3,0,0,0,1,2,unacc,3
3,0,0,0,1,0,unacc,3
3,0,0,0,0,1,unacc,3
3,0,0,0,0,2,unacc,3
3,0,0,0,0,0,unacc,3
3,0,0,1,2,1,unacc,3
3,0,0,1,2,2,unacc,3
3,0,0,1,2,0,unacc,3
3,0,0,1,1,1,unacc,3
3,0,0,1,1,2,unacc,3
3,0,0,1,1,0,unacc,3
3,0,0,1,0,1,unacc,3
3,0,0,1,0,2,unacc,3
3,0,0,1,0,0,unacc,3
3,0,0,2,2,1,unacc,3
3,0,0,2,2,2,unacc,3
3,0,0,2,2,0,unacc,3
3,0,0,2,1,1,unacc,3
3,0,0,2,1,2,unacc,3
3,0,0,2,1,0,unacc,3
3,0,0,2,0,1,unacc,3
3,0,0,2,0,2,unacc,3
3,0,0,2,0,0,unacc,3
3,0,1,0,2,1,unacc,3
3,0,1,0,2,2,unacc,3
3,0,1,0,2,0,unacc,3
3,0,1,0,1,1,unacc,3
3,0,1,0,1,2,unacc,3
3,0,1,0,1,0,unacc,3
3,0,1,0,0,1,unacc,3
3,0,1,0,0,2,unacc,3
